field_type,ID,Location,Taxa,Numeric,Time,Time,Categorical,Comments
1798,18_04_15_5,C Matrix,Cricket Frog,7,00:00:01,01:00:01 AM,A,multiple calling individuals from nearby permanent pool (7 m): calls throughout PC
1799,18_04_15_5,C Matrix,Four-lined Tree Frog,7,00:01:13,01:01:13 AM,A,NA
1800,18_04_15_5,C Matrix,Tree Frog,7,00:03:10,01:03:10 AM,A,NA
1801,18_04_15_5,C Matrix,Tree Frog,7,00:03:34,01:03:34 AM,A,NA
1802,18_04_15_5,C Matrix,Four-lined Tree Frog,7,00:04:34,01:04:34 AM,A,NA
1803,18_04_15_5,C Matrix,Grass Frog,7,00:07:17,01:07:17 AM,A,NA
1804,18_04_15_5,C Matrix,Four-lined Tree Frog,7,00:09:07,01:09:07 AM,A,NA
1805,18_04_15_5,C Matrix,Tree Frog,7,00:09:20,01:09:20 AM,A,NA
1806,18_04_15_5,C Matrix,Grass Frog,7,00:12:30,01:12:30 AM,A,NA
1807,18_04_15_5,C Matrix,Four-lined Tree Frog,7,00:19:00,01:19:00 AM,V,female
1808,18_04_15_6,C Matrix,Cricket Frog,7,00:00:01,02:00:01 AM,A,multiple calling individuals from nearby permanent pool (7 m): calls throughout PC
1809,18_04_15_6,C Matrix,Four-lined Tree Frog,7,00:00:01,02:00:01 AM,A,NA
1810,18_04_15_6,C Matrix,Four-lined Tree Frog,7,00:00:40,02:00:40 AM,A,NA
1811,18_04_15_6,C Matrix,Cricket Frog,7,00:00:41,02:00:41 AM,A,multiple calling individuals from nearby permanent pool (7 m): calls throughout PC
1812,18_04_15_6,C Matrix,Cricket Frog,7,00:00:42,02:00:42 AM,A,multiple calling individuals from nearby permanent pool (7 m): calls throughout PC
1813,18_04_15_6,C Matrix,Cricket Frog,7,00:00:43,02:00:43 AM,A,multiple calling individuals from nearby permanent pool (7 m): calls throughout PC
1814,18_04_15_6,C Matrix,Cricket Frog,7,00:00:44,02:00:44 AM,A,multiple calling individuals from nearby permanent pool (7 m): calls throughout PC
1815,18_04_15_6,C Matrix,Cricket Frog,7,00:00:45,02:00:45 AM,A,multiple calling individuals from nearby permanent pool (7 m): calls throughout PC
1816,18_04_15_6,C Matrix,Tree Frog,7,00:08:50,02:08:50 AM,A,NA
1817,18_04_15_6,C Matrix,Tree Frog,7,00:09:08,02:09:08 AM,A,NA
1818,18_04_15_6,C Matrix,Dark Eared Tree Frog,10,00:12:08,02:12:08 AM,V,NA
1819,18_04_15_6,C Matrix,Grass Frog,10,00:16:06,02:16:06 AM,A,NA
1820,18_04_16_1,C10 621,Cricket Frog,20,00:00:18,09:00:18 PM,A,NA
1821,18_04_16_1,C10 621,Cricket Frog,20,00:00:19,09:00:19 PM,A,NA
1822,18_04_16_1,C10 621,Cricket Frog,20,00:00:20,09:00:20 PM,A,NA
1823,18_04_16_1,C10 621,Cricket Frog,30,00:01:44,09:01:44 PM,A,NA
1824,18_04_16_1,C10 621,Tree Frog,15,00:01:52,09:01:52 PM,A,NA
1825,18_04_16_1,C10 621,Four-lined Tree Frog,20,00:03:34,09:03:34 PM,A,NA
1826,18_04_16_1,C10 621,Four-lined Tree Frog,25,00:03:35,09:03:35 PM,A,NA
1827,18_04_16_1,C10 621,Grass Frog,25,00:04:07,09:04:07 PM,A,NA
1828,18_04_16_1,C10 621,Tree Frog,25,00:05:21,09:05:21 PM,A,NA
1829,18_04_16_1,C10 621,Sticky Frog,10,00:06:50,09:06:50 PM,A,NA
1830,18_04_16_1,C10 621,Tree Frog,20,00:07:37,09:07:37 PM,A,NA
1831,18_04_16_2,C10 621,Cricket Frog,20,00:00:01,10:00:01 PM,A,NA
1832,18_04_16_2,C10 621,Cricket Frog,20,00:00:02,10:00:02 PM,A,NA
1833,18_04_16_2,C10 621,Cricket Frog,20,00:00:05,10:00:05 PM,A,NA
1834,18_04_16_2,C10 621,Cricket Frog,25,00:00:44,10:00:44 PM,A,NA
1835,18_04_16_2,C10 621,Grass Frog,25,00:02:25,10:02:25 PM,A,NA
1836,18_04_16_2,C10 621,Tree Frog,20,00:02:46,10:02:46 PM,A,NA
1837,18_04_16_2,C10 621,Tree Frog,20,00:03:01,10:03:01 PM,A,NA
1838,18_04_16_2,C10 621,Four-lined Tree Frog,23,00:05:50,10:05:50 PM,A,NA
1839,18_04_16_2,C10 621,Bornean Sticky Frog,10,00:06:45,10:06:45 PM,A,NA
1840,18_04_16_2,C10 621,Tree Frog,20,00:07:37,10:07:37 PM,A,NA
1841,18_04_16_2,C10 621,Tree Hole Frog,15,00:09:08,10:09:08 PM,A,NA
1842,18_04_16_2,C10 621,Four-lined Tree Frog,20,00:09:09,10:09:09 PM,A,NA
1843,18_04_16_2,C10 621,Barred Eagle-owl,100,00:15:30,10:15:30 PM,A,NA
1844,18_04_16_2,C10 621,Bush Frog,20,00:16:25,10:16:25 PM,A,single crisp chirp
1845,18_04_16_3,C10 621,Cricket Frog,20,00:00:02,11:00:02 PM,A,NA
1846,18_04_16_3,C10 621,Grass Frog,20,00:00:02,11:00:02 PM,A,NA
1847,18_04_16_3,C10 621,Tree Frog,20,00:00:22,11:00:22 PM,A,NA
1848,18_04_16_3,C10 621,Cricket Frog,2,00:01:07,11:01:07 PM,A,NA
1849,18_04_16_3,C10 621,Cricket Frog,25,00:01:07,11:01:07 PM,A,NA
1850,18_04_16_3,C10 621,Four-lined Tree Frog,20,00:02:12,11:02:12 PM,A,NA
1851,18_04_16_3,C10 621,Four-lined Tree Frog,20,00:04:33,11:04:33 PM,A,NA
1852,18_04_16_3,C10 621,Tree Frog,20,00:07:58,11:07:58 PM,A,NA
1853,18_04_16_3,C10 621,Bush Frog,10,00:12:05,11:12:05 PM,A,NA
1854,18_04_16_3,C10 621,Grass Frog,20,00:13:02,11:13:02 PM,A,NA
1855,18_04_16_3,C10 621,Tree Hole Frog,15,00:15:21,11:15:21 PM,A,NA
1856,18_04_16_3,C10 621,Bush Frog,12,00:16:08,11:16:08 PM,A,NA
1857,18_04_16_3,C10 621,Four-lined Tree Frog,15,00:17:44,11:17:44 PM,A,NA
1858,18_04_16_4,C10 621,Bush Frog,5,00:00:02,12:00:02 AM,A,NA
1859,18_04_16_4,C10 621,Cricket Frog,20,00:00:28,12:00:28 AM,A,NA
1860,18_04_16_4,C10 621,Grass Frog,20,00:02:45,12:02:45 AM,A,NA
1861,18_04_16_4,C10 621,Bush Frog,5,00:03:53,12:03:53 AM,A,NA
1862,18_04_16_4,C10 621,Cricket Frog,20,00:06:58,12:06:58 AM,A,NA
1863,18_04_16_4,C10 621,Grass Frog,20,00:11:43,12:11:43 AM,A,NA
1864,18_04_16_4,C10 621,Tree Frog,20,00:11:53,12:11:53 AM,A,NA
1865,18_04_16_4,C10 621,Sticky Frog,10,00:12:25,12:12:25 AM,A,NA
1866,18_04_16_4,C10 621,Tree Hole Frog,12,00:12:48,12:12:48 AM,A,NA
1867,18_04_16_4,C10 621,Grass Frog,25,00:17:05,12:17:05 AM,A,NA
1868,18_04_16_4,C10 621,Tree Frog,15,00:18:00,12:18:00 AM,A,NA
1869,18_04_16_5,C10 621,Cricket Frog,20,00:00:01,01:00:01 AM,A,NA
1870,18_04_16_5,C10 621,Cricket Frog,20,00:00:02,01:00:02 AM,A,NA
1871,18_04_16_5,C10 621,Cricket Frog,20,00:00:05,01:00:05 AM,A,NA
1872,18_04_16_5,C10 621,Cricket Frog,20,00:00:07,01:00:07 AM,A,NA
1873,18_04_16_5,C10 621,Grass Frog,20,00:02:08,01:02:08 AM,A,NA
1874,18_04_16_5,C10 621,Frilled Tree Frog,20,00:03:16,01:03:16 AM,A,NA
1875,18_04_16_5,C10 621,Four-lined Tree Frog,20,00:07:21,01:07:21 AM,A,NA
1876,18_04_16_5,C10 621,Tree Frog,25,00:07:48,01:07:48 AM,A,NA
1877,18_04_16_5,C10 621,Tree Hole Frog,15,00:08:31,01:08:31 AM,A,NA
1878,18_04_16_5,C10 621,Grass Frog,20,00:09:09,01:09:09 AM,A,NA
1879,18_04_16_5,C10 621,Tree Hole Frog,3,00:11:27,01:11:27 AM,A,NA
1880,18_04_16_5,C10 621,Four-lined Tree Frog,15,00:20:00,01:20:00 AM,A,NA
1881,18_04_16_6,C10 621,Grass Frog,20,00:00:04,02:00:04 AM,A,NA
1882,18_04_16_6,C10 621,Grass Frog,20,00:00:04,02:00:04 AM,A,NA
1883,18_04_16_6,C10 621,Cricket Frog,20,00:00:18,02:00:18 AM,A,NA
1884,18_04_16_6,C10 621,Cricket Frog,20,00:01:15,02:01:15 AM,A,NA
1885,18_04_16_6,C10 621,Tree Frog,25,00:01:20,02:01:20 AM,A,NA
1886,18_04_16_6,C10 621,Tree Frog,20,00:01:40,02:01:40 AM,A,NA
1887,18_04_16_6,C10 621,Frilled Tree Frog,25,00:02:43,02:02:43 AM,A,NA
1888,18_04_16_6,C10 621,Frilled Tree Frog,25,00:05:18,02:05:18 AM,A,NA
1889,18_04_16_6,C10 621,Tree Frog,20,00:14:53,02:14:53 AM,A,NA
1890,18_04_16_6,C10 621,Four-lined Tree Frog,20,00:15:39,02:15:39 AM,A,NA
1891,18_04_16_6,C10 621,Grass Frog,20,00:17:45,02:17:45 AM,A,NA
1892,18_04_17_1,Riparian 1,White-lipped Frog,5,00:02:18,09:17:18 PM,V,NA
1893,18_04_17_2,Riparian 1,White-lipped Frog,5,00:01:57,10:01:57 PM,V,NA
1894,18_04_17_2,Riparian 1,Kuhl's Creek Frog,7,00:04:37,10:04:37 PM,V,NA
1895,18_04_17_2,Riparian 1,Poisonous Rock Frog,10,00:07:20,10:07:20 PM,V,NA
1896,18_04_17_2,Riparian 1,Rough Guardian Frog,8,00:09:02,10:09:02 PM,V,NA
1897,18_04_17_2,Riparian 1,Giant River Toad,8,00:13:07,10:13:07 PM,V,NA
1898,18_04_17_3,Riparian 1,Poisonous Rock Frog,10,00:00:52,11:00:52 PM,V,NA
1899,18_04_17_3,Riparian 1,Poisonous Rock Frog,8,00:03:02,11:03:02 PM,V,NA
1900,18_04_17_3,Riparian 1,White-lipped Frog,5,00:05:27,11:05:27 PM,V,NA
1901,18_04_17_3,Riparian 1,Kuhl's Creek Frog,7,00:08:28,11:08:28 PM,V,NA
1902,18_04_17_3,Riparian 1,Giant River Toad,9,00:09:47,11:09:47 PM,V,NA
1903,18_04_17_3,Riparian 1,Twittering Slender Litter Frog,10,00:18:58,11:18:58 PM,A,NA
1904,18_04_17_4,Riparian 1,White-lipped Frog,5,00:01:32,12:01:32 AM,V,NA
1905,18_04_17_4,Riparian 1,Giant River Toad,9,00:03:52,12:03:52 AM,V,NA
1906,18_04_17_4,Riparian 1,Poisonous Rock Frog,10,00:07:57,12:07:57 AM,V,NA
1907,18_04_17_4,Riparian 1,Poisonous Rock Frog,9,00:12:08,12:12:08 AM,V,NA
1908,18_04_17_5,Riparian 1,Giant River Toad,7,00:00:39,01:00:39 AM,V,NA
1909,18_04_17_5,Riparian 1,White-lipped Frog,5,00:01:37,01:01:37 AM,V,NA
1910,18_04_17_5,Riparian 1,Kuhl's Creek Frog,5,00:03:06,01:03:06 AM,V,NA
1911,18_04_17_5,Riparian 1,Kuhl's Creek Frog,7,00:11:32,01:11:32 AM,V,NA
1912,18_04_17_6,Riparian 1,White-lipped Frog,5,00:02:14,02:02:14 AM,V,NA
1913,18_04_17_6,Riparian 1,Rock Skipper Frog,10,00:02:32,02:02:32 AM,A,chi-chip
1914,18_04_17_6,Riparian 1,Giant River Toad,8,00:08:46,02:08:46 AM,V,NA
1915,18_04_17_6,Riparian 1,Poisonous Rock Frog,4,00:12:26,02:12:26 AM,V,NA
1916,18_04_26_1,D Matrix,NA,NA,NA,NA,NA,NA
1917,18_04_26_2,D Matrix,Plaintive Cuckoo,30,00:19:26,04:19:26 AM,NA,NA
1918,18_04_26_3,D Matrix,Plaintive Cuckoo,28,00:16:30,05:16:30 AM,NA,NA
1919,18_04_26_4,D Matrix,Malaysian Pied Fantail,20,00:01:00,06:01:00 AM,AV,NA
1920,18_04_26_4,D Matrix,Greater Coucal,25,00:01:10,06:01:10 AM,A,NA
1921,18_04_26_4,D Matrix,Bold-striped Tit-babbler,11,00:01:20,06:01:20 AM,A,NA
1922,18_04_26_4,D Matrix,Bold-striped Tit-babbler,12,00:01:20,06:01:20 AM,A,NA
1923,18_04_26_4,D Matrix,Emerald dove,21,00:01:20,06:01:20 AM,A,NA
1924,18_04_26_4,D Matrix,Yellow-bellied Prinia,16,00:02:16,06:02:16 AM,A,NA
1925,18_04_26_4,D Matrix,Swift,NA,00:03:00,06:03:00 AM,A,NA
1926,18_04_26_4,D Matrix,Swift,NA,00:03:00,06:03:00 AM,A,NA
1927,18_04_26_4,D Matrix,Yellow-bellied Prinia,15,00:03:13,06:03:13 AM,A,NA
1928,18_04_26_4,D Matrix,Sooty-capped Babbler,40,00:04:30,06:04:30 AM,A,Babbler up and down the scale: JA238
1929,18_04_26_4,D Matrix,Orange-bellied Flowerpecker,15,00:05:00,06:05:00 AM,AV,NA
1930,18_04_26_4,D Matrix,Bold-striped Tit-babbler,12,00:05:40,06:05:40 AM,A,NA
1931,18_04_26_4,D Matrix,Bold-striped Tit-babbler,10,00:05:40,06:05:40 AM,A,NA
1932,18_04_26_4,D Matrix,Chestnut-winged Babbler,30,00:07:00,06:07:00 AM,A,NA
1933,18_04_26_4,D Matrix,Rufous-tailed Tailorbird,15,00:08:00,06:08:00 AM,A,NA
1934,18_04_26_4,D Matrix,Malaysian Pied Fantail,20,00:08:40,06:08:40 AM,AV,NA
1935,18_04_26_4,D Matrix,Malaysian Pied Fantail,20,00:08:40,06:08:40 AM,AV,NA
1936,18_04_26_4,D Matrix,Pycnonotidae,12,00:10:10,06:10:10 AM,V,NA
1937,18_04_26_4,D Matrix,Plaintive Cuckoo,20,00:10:50,06:10:50 AM,A,NA
1938,18_04_26_4,D Matrix,Fluffy-backed Tit-babbler,20,00:11:20,06:11:20 AM,A,NA
1939,18_04_26_4,D Matrix,Bornean Gibbon,100,00:12:00,06:12:00 AM,A,NA
1940,18_04_26_4,D Matrix,Lesser Coucal,28,00:12:40,06:12:40 AM,A,NA
1941,18_04_26_4,D Matrix,NA,15,00:13:49,06:13:49 AM,A,NA
1942,18_04_26_4,D Matrix,Yellow-vented Bulbul,10,00:16:14,06:16:14 AM,A,NA
1943,18_04_26_4,D Matrix,Yellow-vented Bulbul,10,00:16:14,06:16:14 AM,A,NA
1944,18_04_26_4,D Matrix,Orange-bellied Flowerpecker,12,00:19:30,06:19:30 AM,A,NA
1945,18_04_26_5,D Matrix,Great Argus,80,00:00:30,07:00:30 AM,A,NA
1946,18_04_26_5,D Matrix,Malaysian Pied Fantail,15,00:01:00,07:01:00 AM,A,NA
1947,18_04_26_5,D Matrix,Bold-striped Tit-babbler,13,00:01:30,07:01:30 AM,A,NA
1948,18_04_26_5,D Matrix,Bold-striped Tit-babbler,13,00:01:30,07:01:30 AM,A,NA
1949,18_04_26_5,D Matrix,Bold-striped Tit-babbler,12,00:01:30,07:01:30 AM,A,NA
1950,18_04_26_5,D Matrix,Emerald dove,20,00:02:00,07:02:00 AM,A,NA
1951,18_04_26_5,D Matrix,Chestnut-winged Babbler,25,00:02:20,07:02:20 AM,A,NA
1952,18_04_26_5,D Matrix,Fluffy-backed Tit-babbler,25,00:02:30,07:02:30 AM,A,NA
1953,18_04_26_5,D Matrix,Black-capped Babbler,20,00:03:20,07:03:20 AM,A,NA
1954,18_04_26_5,D Matrix,Orange-bellied Flowerpecker,15,00:03:50,07:03:50 AM,A,NA
1955,18_04_26_5,D Matrix,Lesser Coucal,30,00:04:10,07:04:10 AM,A,NA
1956,18_04_26_5,D Matrix,Lesser Coucal,30,00:04:50,07:04:50 AM,A,NA
1957,18_04_26_5,D Matrix,King Quail,20,00:05:00,07:05:00 AM,A,NA
1958,18_04_26_5,D Matrix,Pycnonotidae,15,00:05:30,07:05:30 AM,A,NA
1959,18_04_26_5,D Matrix,Cream-vented Bulbul,6,00:06:45,07:06:45 AM,AV,NA
1960,18_04_26_5,D Matrix,Yellow-bellied Prinia,12,00:06:45,07:06:45 AM,A,NA
1961,18_04_26_5,D Matrix,NA,17,00:07:50,07:07:50 AM,A,NA
1962,18_04_26_5,D Matrix,Bornean Gibbon,100,00:09:30,07:09:30 AM,A,NA
1963,18_04_26_5,D Matrix,Fluffy-backed Tit-babbler,14,00:10:00,07:10:00 AM,A,NA
1964,18_04_26_5,D Matrix,Rufous-tailed Tailorbird,30,00:10:30,07:10:30 AM,A,NA
1965,18_04_26_5,D Matrix,NA,15,00:11:30,07:11:30 AM,A,NA
1966,18_04_26_5,D Matrix,Yellow-vented Bulbul,7,00:14:30,07:14:30 AM,AV,NA
1967,18_04_26_5,D Matrix,Yellow-vented Bulbul,7,00:14:30,07:14:30 AM,AV,NA
1968,18_04_26_5,D Matrix,Yellow-vented Bulbul,7,00:14:30,07:14:30 AM,AV,NA
1969,18_04_26_5,D Matrix,Yellow-vented Bulbul,7,00:14:30,07:14:30 AM,AV,NA
1970,18_04_26_5,D Matrix,Yellow-vented Bulbul,7,00:14:30,07:14:30 AM,AV,NA
1971,18_04_26_5,D Matrix,Dark-necked Tailorbird,12,00:16:34,07:16:34 AM,A,NA
1972,18_04_26_5,D Matrix,NA,20,00:18:13,07:18:13 AM,A,NA
1973,18_04_26_5,D Matrix,Greater Coucal,25,00:19:00,07:19:00 AM,A,NA
1974,18_04_26_5,D Matrix,Banded Bay Cuckoo,30,00:19:20,07:19:20 AM,A,NA
1975,18_04_26_6,D Matrix,Yellow-bellied Prinia,10,00:00:10,08:00:10 AM,A,NA
1976,18_04_26_6,D Matrix,Bold-striped Tit-babbler,12,00:00:20,08:00:20 AM,A,NA
1977,18_04_26_6,D Matrix,Bold-striped Tit-babbler,12,00:00:20,08:00:20 AM,A,NA
1978,18_04_26_6,D Matrix,Bold-striped Tit-babbler,12,00:00:20,08:00:20 AM,A,NA
1979,18_04_26_6,D Matrix,Banded Bay Cuckoo,17,00:00:30,08:00:30 AM,A,NA
1980,18_04_26_6,D Matrix,Chestnut-winged Babbler,20,00:00:35,08:00:35 AM,A,NA
1981,18_04_26_6,D Matrix,Greater Coucal,20,00:00:42,08:00:42 AM,A,NA
1982,18_04_26_6,D Matrix,Ashy Tailorbird,11,00:03:20,08:03:20 AM,AV,NA
1983,18_04_26_6,D Matrix,Ashy Tailorbird,11,00:03:20,08:03:20 AM,AV,NA
1984,18_04_26_6,D Matrix,Yellow-vented Bulbul,15,00:04:00,08:04:00 AM,A,NA
1985,18_04_26_6,D Matrix,Sooty-capped Babbler,30,00:04:50,08:04:50 AM,A,NA
1986,18_04_26_6,D Matrix,White-crowned Shama,35,00:05:15,08:05:15 AM,A,NA
1987,18_04_26_6,D Matrix,Chestnut Munia,5,00:07:40,08:07:40 AM,A,NA
1988,18_04_26_6,D Matrix,Lesser Coucal,25,00:08:40,08:08:40 AM,A,NA
1989,18_04_26_6,D Matrix,Lesser Coucal,25,00:08:40,08:08:40 AM,A,NA
1990,18_04_26_6,D Matrix,Great Argus,200,00:09:00,08:09:00 AM,A,NA
1991,18_04_26_6,D Matrix,Blue-eared Barbet,11,00:09:40,08:09:40 AM,A,NA
1992,18_04_26_6,D Matrix,Blue-eared Barbet,11,00:09:40,08:09:40 AM,A,NA
1993,18_04_26_6,D Matrix,Black-headed Bulbul,7,00:10:50,08:10:50 AM,V,NA
1994,18_04_26_6,D Matrix,Yellow-vented Bulbul,6,00:14:40,08:14:40 AM,V,NA
1995,18_04_26_6,D Matrix,Yellow-vented Bulbul,6,00:14:40,08:14:40 AM,V,NA
1996,18_04_26_6,D Matrix,Grey-and-buff Woodpecker,12,00:17:00,08:17:00 AM,V,NA
1997,18_04_26_6,D Matrix,Grey-and-buff Woodpecker,12,00:17:00,08:17:00 AM,V,NA
1998,18_04_26_6,D Matrix,Yellow-bellied Prinia,17,00:18:00,08:18:00 AM,A,NA
1999,18_04_26_6,D Matrix,Bold-striped Tit-babbler,11,00:18:10,08:18:10 AM,A,NA
2000,18_04_26_6,D Matrix,Bold-striped Tit-babbler,12,00:18:10,08:18:10 AM,A,NA
2001,18_04_26_6,D Matrix,Babbler,25,00:18:33,08:18:33 AM,A,HuHuuuuu
2002,18_04_27_1,E1 648,NA,NA,NA,NA,NA,NA
2003,18_04_27_2,E1 648,Great Argus,100,00:03:53,05:03:53 AM,A,NA
2004,18_04_27_3,E1 648,Black-capped Babbler,12,00:00:10,06:00:10 AM,A,NA
2005,18_04_27_3,E1 648,Fluffy-backed Tit-babbler,15,00:00:10,06:00:10 AM,A,NA
2006,18_04_27_3,E1 648,Fluffy-backed Tit-babbler,15,00:00:10,06:00:10 AM,A,NA
2007,18_04_27_3,E1 648,Short-tailed Babbler,7,00:00:10,06:00:10 AM,A,NA
2008,18_04_27_3,E1 648,Sooty-capped Babbler,15,00:00:10,06:00:10 AM,A,NA
2009,18_04_27_3,E1 648,Chestnut-winged Babbler,25,00:00:20,06:00:20 AM,A,NA
2010,18_04_27_3,E1 648,Yellow-rumped Flowerpecker,15,00:00:29,06:00:29 AM,A,nice spectogram fragment at 0:2:53
2011,18_04_27_3,E1 648,Asian Fairy Bluebird,15,00:00:34,06:00:34 AM,A,Whitwhet
2012,18_04_27_3,E1 648,Fluffy-backed Tit-babbler,25,00:00:53,06:00:53 AM,A,NA
2013,18_04_27_3,E1 648,Little Spiderhunter,14,00:01:16,06:01:16 AM,A,NA
2014,18_04_27_3,E1 648,NA,NA,00:03:50,06:03:50 AM,A,single chit’s 4-9khz
2015,18_04_27_3,E1 648,Black-naped Monarch,14,00:04:20,06:04:20 AM,A,Switswitswitwit: JA242
2016,18_04_27_3,E1 648,NA,2,00:04:43,06:04:43 AM,A,Small woodpecker that flew past
2017,18_04_27_3,E1 648,Sooty-capped Babbler,2,00:04:55,06:04:55 AM,V,"couple of sooty-capped babblers, making tjeuwtjeuwtjeuw sound: good fragment at 0:05:29"
2018,18_04_27_3,E1 648,Sooty-capped Babbler,4,00:06:00,06:06:00 AM,A,Wi-ti-woo wi-ti-woo sound
2019,18_04_27_3,E1 648,NA,20,00:09:20,06:09:20 AM,A,HI HI = WP?
2020,18_04_27_3,E1 648,NA,15,00:12:53,06:12:53 AM,A,"Wheet-whee-whee, first note c. 5khz, second c. 4khz, third c. 3.5khz"
2021,18_04_27_3,E1 648,NA,17,00:13:04,06:13:04 AM,A,"whit whit: first note c.4khz, second note c. 3.3khz"
2022,18_04_27_3,E1 648,Bold-striped Tit-babbler,30,00:13:07,06:13:07 AM,A,uchup uchup
2023,18_04_27_3,E1 648,Spectacled Bulbul,10,00:14:30,06:14:30 AM,A,piequickclip bulbul
2024,18_04_27_3,E1 648,Orange-bellied Flowerpecker,6,00:15:35,06:15:35 AM,A,looks different than the yellow-rumped on the spectogram
2025,18_04_27_3,E1 648,NA,5,00:16:45,06:16:45 AM,A,"shrekshrekshrekshrek, relatively fast-paced: similar to Malaysian Pied Fantail but not 100% same as the 1ref sound I have from it: asian fairy bluebird? Shreking sounds reff sound Mike Catsis"
2026,18_04_27_3,E1 648,Lesser Green Leafbird,7,00:17:00,06:17:00 AM,V,female
2027,18_04_27_3,E1 648,Fluffy-backed Tit-babbler,15,00:17:55,06:17:55 AM,A,NA
2028,18_04_27_3,E1 648,Little Spiderhunter? Or Sunbird?,6,00:18:27,06:18:27 AM,A,NA
2029,18_04_27_3,E1 648,Bornean Gibbon,200,00:19:00,06:19:00 AM,A,NA
2030,18_04_27_4,E1 648,Fluffy-backed Tit-babbler,15,00:00:11,07:00:11 AM,A,NA
2031,18_04_27_4,E1 648,Fluffy-backed Tit-babbler,15,00:00:11,07:00:11 AM,A,NA
2032,18_04_27_4,E1 648,Short-tailed Babbler,18,00:00:13,07:00:13 AM,A,NA
2033,18_04_27_4,E1 648,Sooty-capped Babbler,12,00:00:16,07:00:16 AM,A,JA243
2034,18_04_27_4,E1 648,Sooty-capped Babbler,13,00:00:17,07:00:17 AM,A,tjeuwtjeuwtjeuw
2035,18_04_27_4,E1 648,Greater Coucal,20,00:00:21,07:00:21 AM,A,"0.5khz, boop boop boop, 1note/s"
2036,18_04_27_4,E1 648,Chestnut-winged Babbler,20,00:00:36,07:00:36 AM,A,NA
2037,18_04_27_4,E1 648,Great Argus,80,00:01:30,07:01:30 AM,A,NA
2038,18_04_27_4,E1 648,Short-tailed Babbler,15,00:01:37,07:01:37 AM,A,NA
2039,18_04_27_4,E1 648,Chestnut-backed Scimitar Babbler,25,00:02:00,07:02:00 AM,A,whorwhup
2040,18_04_27_4,E1 648,Golden-whiskered Barbet,150,00:02:21,07:02:21 AM,A,NA
2041,18_04_27_4,E1 648,rufous-crowned/sooty-capped Babbler,7,00:04:49,07:04:49 AM,A,"Wi-too-wi-too-wi-too, each other note ascending and descending"
2042,18_04_27_4,E1 648,Bold-striped Tit-babbler,12,00:05:25,07:05:25 AM,A,NA
2043,18_04_27_4,E1 648,Bold-striped Tit-babbler,10,00:05:35,07:05:35 AM,A,NA
2044,18_04_27_4,E1 648,Prionochilus,16,00:06:23,07:06:23 AM,A,tsitsitsitsi
2045,18_04_27_4,E1 648,NA,15,00:06:43,07:06:43 AM,A,NA
2046,18_04_27_4,E1 648,NA,15,00:09:42,07:09:42 AM,A,Rufous-crowned/Sooty-capped Babbler song variation?? wit-ti-woo sound
2047,18_04_27_4,E1 648,NA,NA,00:11:50,07:11:50 AM,A,"Short two-note sound, first note 4khz, second 2.8-3.8khz"
2048,18_04_27_4,E1 648,NA,NA,00:12:37,07:12:37 AM,A,"sounds like FC, but only three notes. First 5khz, second 4 khz, third 2.9khz"
2049,18_04_27_4,E1 648,Raffles's Malkoha,9,00:13:55,07:13:55 AM,A,NA
2050,18_04_27_4,E1 648,Raffles's Malkoha,9,00:13:55,07:13:55 AM,A,NA
2051,18_04_27_4,E1 648,Bold-striped Tit-babbler,25,00:18:00,07:18:00 AM,A,uchup uchup
2052,18_04_27_4,E1 648,Sunbird,15,00:18:30,07:18:30 AM,A,chichichichichichi
2053,18_04_27_4,E1 648,Yellow-rumped Flowerpecker,4,00:19:36,07:19:36 AM,V,NA
2054,18_04_27_4,E1 648,Yellow-rumped Flowerpecker,4,00:19:36,07:19:36 AM,V,NA
2055,18_04_27_5,E1 648,Sooty-capped Babbler,10,00:00:10,08:00:10 AM,A,NA
2056,18_04_27_5,E1 648,Fluffy-backed Tit-babbler,20,00:00:30,08:00:30 AM,A,NA
2057,18_04_27_5,E1 648,Chestnut-winged Babbler,25,00:00:41,08:00:41 AM,A,NA
2058,18_04_27_5,E1 648,Bold-striped Tit-babbler,20,00:01:05,08:01:05 AM,A,NA
2059,18_04_27_5,E1 648,Bold-striped Tit-babbler,20,00:01:06,08:01:06 AM,A,NA
2060,18_04_27_5,E1 648,Sooty-capped Babbler,10,00:02:40,08:02:40 AM,A,tjeuwtjeuwtjeuw: JA247
2061,18_04_27_5,E1 648,Black-capped Babbler,30,00:02:50,08:02:50 AM,A,NA
2062,18_04_27_5,E1 648,Raffles's Malkoha,15,00:03:05,08:03:05 AM,A,NA
2063,18_04_27_5,E1 648,Raffles's Malkoha,15,00:03:06,08:03:06 AM,A,NA
2064,18_04_27_5,E1 648,Dark-necked Tailorbird,20,00:03:15,08:03:15 AM,A,NA
2065,18_04_27_5,E1 648,Black-headed Bulbul,15,00:03:36,08:03:36 AM,A,NA
2066,18_04_27_5,E1 648,NA,12,00:04:05,08:04:05 AM,A,chichichichichichi
2067,18_04_27_5,E1 648,Dark-necked Tailorbird,17,00:04:16,08:04:16 AM,AV,NA
2068,18_04_27_5,E1 648,NA,NA,00:05:30,08:05:30 AM,A,Also dark-necked tailorbird?
2069,18_04_27_5,E1 648,NA,13,NA,NA,A,multiple species
